5hzy7;mindrxiv;https://doi.org/10.1016/bs.pbr.2018.10.001;2018-;;;{Anthony P. Zanesco and Ekaterina Denkova and Scott L. Rogers and William K. MacNulty and Amishi P. Jha};{Elsevier};{https://doi.org/10.1016%2Fbs.pbr.2018.10.001}
ukz4v;mindrxiv;https://doi.org/10.1016/j.copsyc.2018.09.009;2019-08;;;{Rebecca S Crane};{Elsevier {BV}};{https://doi.org/10.1016%2Fj.copsyc.2018.09.009}
h4tyd;mindrxiv;https://doi.org/10.1016/j.copsyc.2018.10.004;2019-08;;;{Rebecca S Crane and Willem Kuyken};{Elsevier {BV}};{https://doi.org/10.1016%2Fj.copsyc.2018.10.004}
bc4xy;mindrxiv;https://doi.org/10.4236/jbbs.2017.73013;2017-;;;{S. Shaun Ho and Yoshio Nakamura};{Scientific Research Publishing;{https://doi.org/10.4236%2Fjbbs.2017.73013}
p5ndr;mindrxiv;https://doi.org/10.1016/j.copsyc.2018.11.009;2019-08;;;{Quinn A Conklin and Alexandra D Crosswell and Clifford D Saron and Elissa S Epel};{Elsevier {BV}};{https://doi.org/10.1016%2Fj.copsyc.2018.11.009}
3tr98;mindrxiv;https://doi.org/10.1016/j.copsyc.2018.10.014;2019-08;;;{David M Fresco and Douglas S Mennin};{Elsevier {BV}};{https://doi.org/10.1016%2Fj.copsyc.2018.10.014}
3ekjc;mindrxiv;https://doi.org/10.1016/j.copsyc.2018.09.011;2019-08;;;{Paul Condon};{Elsevier {BV}};{https://doi.org/10.1016%2Fj.copsyc.2018.09.011}
u4zw2;mindrxiv;https://doi.org/10.1016/j.copsyc.2018.12.003;2018-12;;;{Wendy Hasenkamp};{Elsevier {BV}};{https://doi.org/10.1016%2Fj.copsyc.2018.12.003}
hsge2;mindrxiv;https://doi.org/10.3389/fnhum.2015.00297;2015-06;;;{Dav Clark and Frank Schumann and Stewart H. Mostofsky};{Frontiers Media {SA}};{https://doi.org/10.3389%2Ffnhum.2015.00297}
hk5gp;mindrxiv;https://doi.org/10.1037/pspa0000134;2018-12;;;{Emily K. Lindsay and Brian Chin and Carol M. Greco and Shinzen Young and Kirk W. Brown and Aidan G. C. Wright and Joshua M. Smyth and Deanna Burkett and J. David Creswell};{American Psychological Association ({APA})};{https://doi.org/10.1037%2Fpspa0000134}
qtreh;mindrxiv;https://doi.org/10.1007/s41465-018-0068-1;2018-03;;;{Anthony P. Zanesco and Brandon G. King and Katherine A. MacLean and Clifford D. Saron};{Springer Nature America;{https://doi.org/10.1007%2Fs41465-018-0068-1}
j6q8a;mindrxiv;https://doi.org/10.1016/j.neubiorev.2017.01.007;2017-03;;;{Rebekah Jane Kaunhoven and Dusana Dorjee};{Elsevier {BV}};{https://doi.org/10.1016%2Fj.neubiorev.2017.01.007}
nm7a8;mindrxiv;https://doi.org/10.1371/journal;-;;;;;
hjqmw;mindrxiv;https://doi.org/10.3389/fpsyg.2017.01367;2017-08;;;{Simon B. Goldberg and Lisa Flook and Matthew J. Hirshberg and David Findley and Pelin Kesebir and Stacey M. Schaefer and Richard J. Davidson};{Frontiers Media {SA}};{https://doi.org/10.3389%2Ffpsyg.2017.01367}
9f65j;mindrxiv;https://doi.org/10.3389/fpsyg.2016.01788;2016-11;;;{Dusana Dorjee};{Frontiers Media {SA}};{https://doi.org/10.3389%2Ffpsyg.2016.01788}
52tdf;mindrxiv;https://doi.org/10.1016/j.bbi.2018.03.003;2018-05;;;{Quinn A. Conklin and Brandon G. King and Anthony P. Zanesco and Jue Lin and Anahita B. Hamidi and Jennifer J. Pokorny and Mar{\'{\i}}a Jes{\'{u}}s {\'{A}}lvarez-L{\'{o}}pez and Marta Cos{\'{\i}}n-Tom{\'{a}}s and Colin Huang and Perla Kaliman and Elissa S. Epel and Clifford D. Saron};{Elsevier {BV}};{https://doi.org/10.1016%2Fj.bbi.2018.03.003}
5qh3s;mindrxiv;https://doi.org/10.3389/fpsyg.2015.00263;2015-03;;;{Baljinder K. Sahdra and Joseph Ciarrochi and Philip D. Parker and Sarah Marshall and Patrick Heaven};{Frontiers Media {SA}};{https://doi.org/10.3389%2Ffpsyg.2015.00263}
t8b5d;mindrxiv;https://doi.org/10.3389/fnhum.2018.00174;2018-05;;;{Kamila Osypiuk and Evan Thompson and Peter M. Wayne};{Frontiers Media {SA}};{https://doi.org/10.3389%2Ffnhum.2018.00174}
yxe4f;mindrxiv;https://doi.org/10.1080/03057240.2018.1439828;2018-04;;;{Paul Condon and John Dunne and Christine Wilson-Mendenhall};{Informa {UK} Limited};{https://doi.org/10.1080%2F03057240.2018.1439828}
xvua9;mindrxiv;https://doi.org/10.1016/j.tate.2017.09.013;2017-11;;;{Oren Ergas};{Elsevier {BV}};{https://doi.org/10.1016%2Fj.tate.2017.09.013}
7t4jn;mindrxiv;https://doi.org/10.1007/s00146-018-0794-z;2018-01;;;{Linor L. Hadar and Oren Ergas};{Springer Nature};{https://doi.org/10.1007%2Fs00146-018-0794-z}
8d7ez;mindrxiv;https://doi.org/10.1126/sciadv.1700495;2017-10;;;{Veronika Engert and Bethany E. Kok and Ioannis Papassotiriou and George P. Chrousos and Tania Singer};{American Association for the Advancement of Science ({AAAS})};{https://doi.org/10.1126%2Fsciadv.1700495}
7ubpn;mindrxiv;https://doi.org/10.1038/s41598-017-11580-8;2017-09;;;{G. Chierchia and F. H. Parianen Lesemann and D. Snower and M. Vogel and T. Singer};{Springer Nature};{https://doi.org/10.1038%2Fs41598-017-11580-8}
evcga;mindrxiv;https://doi.org/10.1126/sciadv.1700489;2017-10;;;{Sofie L. Valk and Boris C. Bernhardt and Fynn-Mathis Trautwein and Anne B̦ckler and Philipp Kanske and Nicolas Guizard and D. Louis Collins and Tania Singer};{American Association for the Advancement of Science ({AAAS})};{https://doi.org/10.1126%2Fsciadv.1700489}
bzgw6;mindrxiv;https://doi.org/10.3389/fnagi.2017.00201;2017-06;;;{Rui F. Afonso and Joana B. Balardin and Sara Lazar and Jo{\~{a}}o R. Sato and Nadja Igarashi and Danilo F. Santaella and Shirley S. Lacerda and Edson Amaro Jr. and Elisa H. Kozasa};{Frontiers Media {SA}};{https://doi.org/10.3389%2Ffnagi.2017.00201}
ug8r2;mindrxiv;https://doi.org/10.1016/j.psyneuen.2017.09.015;2018-01;;;{Emily K. Lindsay and Shinzen Young and Joshua M. Smyth and Kirk Warren Brown and J. David Creswell};{Elsevier {BV}};{https://doi.org/10.1016%2Fj.psyneuen.2017.09.015}
mfs63;mindrxiv;https://doi.org/10.1007/s12144-017-9631-7;2017-07;;;{Nandini Karunamuni and Rasanjala Weerasekera};{Springer Nature};{https://doi.org/10.1007%2Fs12144-017-9631-7}
jc689;mindrxiv;https://doi.org/10.1371/journal.pone.0183137;2017-09;;;{Ausi{\`{a}}s Cebolla and Marcelo Demarzo and Patricia Martins and Joaquim Soler and Javier Garcia-Campayo};{Public Library of Science ({PLoS})};{https://doi.org/10.1371%2Fjournal.pone.0183137}
xhnm8;mindrxiv;https://doi.org/10.1007/s12671-017-0730-1;2017-05;;;{Peter G. Grossenbacher and Jordan T. Quaglia};{Springer Nature};{https://doi.org/10.1007%2Fs12671-017-0730-1}
bma9y;mindrxiv;https://doi.org/10.1371/journal.pone.0184635;2017-09;;;{Lina R{\aa}dmark and Linda L. Magnusson Hanson and Eva Bojner Horwitz and Walter Osika};{Public Library of Science ({PLoS})};{https://doi.org/10.1371%2Fjournal.pone.0184635}
qzv82;mindrxiv;https://doi.org/10.1080/00220272.2017.1363913;2017-08;;;{Oren Ergas};{Informa {UK} Limited};{https://doi.org/10.1080%2F00220272.2017.1363913}
3pxzd;mindrxiv;https://doi.org/10.1037/ccp0000092;2016-05;;;{Philippe R. Goldin and Amanda Morrison and Hooria Jazaieri and Faith Brozovich and Richard Heimberg and James J. Gross};{American Psychological Association ({APA})};{https://doi.org/10.1037%2Fccp0000092}
r6m4w;mindrxiv;https://doi.org/10.1080/14639947.2014.978088;2014-07;;;{Jessie Sun};{Informa {UK} Limited};{https://doi.org/10.1080%2F14639947.2014.978088}
4fnt6;mindrxiv;https://doi.org/10.1016/j.neuroimage.2011.07.008;2012-01;;;{Wendy Hasenkamp and Christine D. Wilson-Mendenhall and Erica Duncan and Lawrence W. Barsalou};{Elsevier {BV}};{https://doi.org/10.1016%2Fj.neuroimage.2011.07.008}
ea2q4;mindrxiv;https://doi.org/10.1080/1047840X.2015.1064294;2015-10;;;{Eric L. Garland and Norman A. Farb and Philippe R. Goldin and Barbara L. Fredrickson};{Informa {UK} Limited};{https://doi.org/10.1080%2F1047840x.2015.1064294}
6wuh5;mindrxiv;https://doi.org/10.3389/fnbeh.2014.00424;2014-12;;;{Cade McCall and Nikolaus Steinbeis and Matthieu Ricard and Tania Singer};{Frontiers Media {SA}};{https://doi.org/10.3389%2Ffnbeh.2014.00424}
82ayf;mindrxiv;https://doi.org/10.3389/fnhum.2012.00038;2012-;;;{Wendy Hasenkamp and Lawrence W. Barsalou};{Frontiers Media {SA}};{https://doi.org/10.3389%2Ffnhum.2012.00038}
jxdk8;mindrxiv;https://doi.org/10.1080/17439760.2016.1233348;2016-09;;;{Jennifer S. Mascaro and Sean Kelley and Alana Darcher and Lobsang Tenzin Negi and Carol Worthman and Andrew Miller and Charles Raison};{Informa {UK} Limited};{https://doi.org/10.1080%2F17439760.2016.1233348}
